Precipitation,Temp_Max,Temp_Min,Wind,Year,Month,Day
0,22.2,10,3.3,2012,8,24
0,26.1,11.7,3.2,2012,8,25
0,21.1,12.2,3.4,2012,8,26
0,23.9,13.3,1.8,2012,8,27
0,22.8,12.2,3.2,2012,8,28
0,22.8,13.3,2.4,2012,8,29
0,22.8,12.8,1.9,2012,8,30
0,22.2,10.6,2.9,2012,8,31
0,21.7,10.6,2.1,2012,9,1
0,21.1,10,2,2012,9,2
0,22.8,12.8,3.3,2012,9,3
0,24.4,11.1,3.1,2012,9,4
0,26.1,11.7,2.6,2012,9,5
0,28.3,14.4,4.2,2012,9,6
0,32.2,13.3,3.1,2012,9,7
0,25,13.3,3,2012,9,8
0.3,18.9,13.9,5,2012,9,9
0.3,20,11.7,3.9,2012,9,10
0,20,8.9,4.2,2012,9,11
0,22.2,10,5.6,2012,9,12
0,27.8,11.7,3.6,2012,9,13
0,26.1,11.1,1.5,2012,9,14
0,22.2,11.1,1.9,2012,9,15
0,24.4,9.4,2.3,2012,9,16
0,27.8,11.7,2.2,2012,9,17
0,27.8,11.7,1.4,2012,9,18
0,23.9,11.7,1.9,2012,9,19
0,19.4,10,2.5,2012,9,20
0,16.1,12.8,2.1,2012,9,21
0.3,19.4,11.7,1.1,2012,9,22
0,19.4,10,1.4,2012,9,23
0,21.1,10,1.8,2012,9,24
0,19.4,11.1,1.7,2012,9,25
0,19.4,9.4,1.7,2012,9,26
0,22.8,10,1.7,2012,9,27
0,25,12.2,1.1,2012,9,28
0,20.6,12.2,4.3,2012,9,29
0,21.1,7.8,3.1,2012,9,30
0,23.3,8.9,3,2012,10,1
0,17.8,10,4.1,2012,10,2
0,18.9,7.8,7.3,2012,10,3
0,18.9,8.3,6.5,2012,10,4
0,21.7,8.9,5.7,2012,10,5
0,23.9,7.8,5.1,2012,10,6
0,23.9,7.8,1.3,2012,10,7
0,21.1,7.8,1.9,2012,10,8
0,16.1,8.9,1.6,2012,10,9
0,12.2,8.3,1.4,2012,10,10
0,13.9,7.2,1.3,2012,10,11
2,13.9,8.9,4.6,2012,10,12
4.8,15.6,12.2,3.9,2012,10,13
16.5,17.8,13.3,3.4,2012,10,14
7.9,17.2,11.1,4.6,2012,10,15
0,16.1,8.3,5.5,2012,10,16
0,14.4,6.1,1.6,2012,10,17
20.8,17.8,6.7,2,2012,10,18
4.8,15,9.4,5.3,2012,10,19
0.5,11.1,6.1,5.7,2012,10,20
6.4,11.7,4.4,2.7,2012,10,21
8.9,7.8,3.3,2.6,2012,10,22
0,11.1,5.6,3,2012,10,23
7.1,11.7,6.1,2.1,2012,10,24
0,11.7,6.7,1.5,2012,10,25
1.5,11.1,7.2,2.5,2012,10,26
23.1,14.4,9.4,5.1,2012,10,27
6.1,14.4,10,3.8,2012,10,28
10.9,15.6,10,4.9,2012,10,29
34.5,15,12.2,2.8,2012,10,30
14.5,15.6,11.1,2.7,2012,10,31
9.7,15,10.6,3,2012,11,1
5.6,15,10.6,1,2012,11,2
0.5,15.6,11.1,3.6,2012,11,3
8.1,17.8,12.8,3.8,2012,11,4
0.8,15,7.8,4,2012,11,5
0.3,12.8,6.7,3.5,2012,11,6
0,12.2,3.9,3.4,2012,11,7
0,10,1.1,3.4,2012,11,8
0,8.9,1.1,2,2012,11,9
0,7.8,-0.6,2.2,2012,11,10
15.2,8.9,1.1,3,2012,11,11
3.6,12.8,6.1,3,2012,11,12
5.3,11.1,7.8,2.5,2012,11,13
0.8,11.1,5,2.6,2012,11,14
0,9.4,2.8,2.4,2012,11,15
5.6,9.4,2.2,1.6,2012,11,16
6.1,12.2,6.1,5.3,2012,11,17
7.9,10,6.1,4.9,2012,11,18
54.1,13.3,8.3,6,2012,11,19
3.8,11.1,7.2,4.2,2012,11,20
11.2,8.3,3.9,5.5,2012,11,21
0,8.9,2.8,1.5,2012,11,22
32,9.4,6.1,2.4,2012,11,23
0,8.9,3.9,1.2,2012,11,24
0,8.3,1.1,3.6,2012,11,25
0,9.4,1.7,3.8,2012,11,26
0,10,1.7,1.5,2012,11,27
2.8,9.4,2.2,2.9,2012,11,28
1.5,12.8,7.8,4.2,2012,11,29
35.6,15,7.8,4.6,2012,11,30
4.1,13.3,8.3,5.5,2012,12,1
19.6,8.3,7.2,6.2,2012,12,2
13,9.4,7.2,4.4,2012,12,3
14.2,11.7,7.2,6.2,2012,12,4
1.5,8.9,4.4,5,2012,12,5
1.5,7.2,6.1,5.1,2012,12,6
1,7.8,3.3,4.6,2012,12,7
0,6.7,3.3,2,2012,12,8
1.5,6.7,2.8,2.1,2012,12,9
0.5,7.2,5.6,1.8,2012,12,10
3,7.8,5.6,4.5,2012,12,11
8.1,6.7,4.4,2,2012,12,12
2.3,7.2,3.3,2.8,2012,12,13
7.9,6.1,1.1,1.7,2012,12,14
5.3,4.4,0.6,5.1,2012,12,15
22.6,6.7,3.3,5.5,2012,12,16
2,8.3,1.7,9.5,2012,12,17
3.3,3.9,0.6,5.3,2012,12,18
13.7,8.3,1.7,5.8,2012,12,19
13.2,7.2,0.6,3.7,2012,12,20
1.8,8.3,-1.7,1.7,2012,12,21
3.3,8.3,3.9,3.5,2012,12,22
6.6,7.2,3.3,2.5,2012,12,23
0.3,5.6,2.8,2.8,2012,12,24
13.5,5.6,2.8,4.2,2012,12,25
4.6,6.7,3.3,4.9,2012,12,26
4.1,7.8,3.3,3.2,2012,12,27
0,8.3,3.9,1.7,2012,12,28
1.5,5,3.3,1.7,2012,12,29
0,4.4,0,1.8,2012,12,30
0,3.3,-1.1,2,2012,12,31
0,5,-2.8,2.7,2013,1,1
0,6.1,-1.1,3.2,2013,1,2
4.1,6.7,-1.7,3,2013,1,3
2.5,10,2.2,2.8,2013,1,4
3,6.7,4.4,3.1,2013,1,5
2,7.2,2.8,3,2013,1,6
2.3,10,4.4,7.3,2013,1,7
16.3,11.7,5.6,6.3,2013,1,8
38.4,10,1.7,5.1,2013,1,9
0.3,3.3,-0.6,2.1,2013,1,10
0,2.8,-2.8,1.9,2013,1,11
0,2.8,-3.9,2,2013,1,12
0,2.2,-4.4,1.5,2013,1,13
0,3.3,-2.2,1.3,2013,1,14
0,6.7,-0.6,2.3,2013,1,15
0,6.1,-3.9,1.8,2013,1,16
0,3.9,-2.8,1,2013,1,17
0,3.3,-1.1,1.3,2013,1,18
0,1.1,-0.6,1.9,2013,1,19
0,3.3,-0.6,2.1,2013,1,20
0,2.2,-1.7,1.1,2013,1,21
0,3.3,-1.7,0.6,2013,1,22
5.1,7.2,2.2,3.1,2013,1,23
5.8,7.2,1.1,2.6,2013,1,24
3,10.6,2.8,2.1,2013,1,25
2.3,8.3,3.9,4.5,2013,1,26
1.8,5.6,3.9,4.5,2013,1,27
7.9,6.1,3.3,3.2,2013,1,28
4.3,8.3,5,3.9,2013,1,29
3.6,8.9,6.7,3.9,2013,1,30
3,9.4,7.2,4,2013,1,31
0.3,11.7,5,2.9,2013,2,1
0,6.1,2.8,2,2013,2,2
2.3,8.9,2.8,2.9,2013,2,3
0,10.6,6.7,2.6,2013,2,4
3.3,10,6.7,5.1,2013,2,5
1,10.6,6.1,4.5,2013,2,6
1.3,9.4,3.3,4.1,2013,2,7
0,7.8,2.2,1.3,2013,2,8
0.3,8.3,4.4,1.3,2013,2,9
0,8.9,1.7,2,2013,2,10
0.3,8.3,4.4,1.4,2013,2,11
1,11.1,7.2,5.6,2013,2,12
2.3,9.4,7.2,4.1,2013,2,13
1,9.4,5.6,2.2,2013,2,14
0,13.3,5,2.4,2013,2,15
0,11.1,3.9,5.6,2013,2,16
0,9.4,4.4,3.4,2013,2,17
0,7.8,3.9,1.9,2013,2,18
0,10.6,1.7,3.4,2013,2,19
1.5,7.8,1.1,2.1,2013,2,20
0.5,6.7,3.9,6.2,2013,2,21
9.4,7.8,3.9,8.1,2013,2,22
0.3,10,3.9,4.6,2013,2,23
0,8.9,5,5.5,2013,2,24
2.3,10.6,3.3,7.1,2013,2,25
0.5,8.9,3.9,3.8,2013,2,26
4.6,10,4.4,1.8,2013,2,27
8.1,11.7,6.7,3.8,2013,2,28
4.1,15,11.1,5.4,2013,3,1
0.8,13.9,5,4.5,2013,3,2
0,11.1,2.2,2.8,2013,3,3
0,13.3,0,3.9,2013,3,4
0,9.4,6.1,2.4,2013,3,5
11.9,7.2,5,4.1,2013,3,6
7.4,12.2,5,2.5,2013,3,7
0,11.7,2.2,2.6,2013,3,8
0,12.8,1.1,1.3,2013,3,9
0.8,7.8,3.9,1.6,2013,3,10
1.3,10.6,6.1,1.1,2013,3,11
2,12.8,10,5.7,2013,3,12
2.3,11.7,9.4,3.7,2013,3,13
2.8,11.7,9.4,3,2013,3,14
0,14.4,8.9,4.3,2013,3,15
4.3,10.6,4.4,6.4,2013,3,16
0,8.9,3.9,6.1,2013,3,17
0,11.7,3.9,5.9,2013,3,18
11.7,12.8,1.7,3.4,2013,3,19
9.9,11.1,4.4,7.6,2013,3,20
8.1,10,2.2,4.9,2013,3,21
0,9.4,0.6,2.2,2013,3,22
0,10,1.1,2.6,2013,3,23
0,12.2,0.6,2.1,2013,3,24
0,16.7,4.4,2.8,2013,3,25
0,16.7,6.1,1.7,2013,3,26
0.3,13.3,7.2,1.6,2013,3,27
2,16.1,8.3,1.3,2013,3,28
0,18.3,7.8,2.5,2013,3,29
0,20,5.6,4.4,2013,3,30
0,20.6,6.7,2.9,2013,3,31
0,17.2,8.3,3.6,2013,4,1
0,13.9,8.9,2.2,2013,4,2
0,16.7,7.8,1.6,2013,4,3
8.4,14.4,10,3,2013,4,4
18.5,13.9,10,5.6,2013,4,5
12.7,12.2,7.2,5,2013,4,6
39.1,8.3,5,3.9,2013,4,7
0.8,13.3,6.1,3.1,2013,4,8
0,12.2,6.1,2.4,2013,4,9
9.4,15,8.9,6.4,2013,4,10
1.5,12.2,6.7,3.8,2013,4,11
9.7,7.8,4.4,4.6,2013,4,12
9.4,10.6,3.3,5.7,2013,4,13
5.8,12.8,4.4,2.3,2013,4,14
0,13.9,4.4,2.4,2013,4,15
0.3,13.9,3.3,2.6,2013,4,16
0,15,3.9,3.3,2013,4,17
5.3,11.7,6.7,4,2013,4,18
20.6,13.3,9.4,4.9,2013,4,19
0,13.9,8.3,5.8,2013,4,20
3.3,12.2,6.7,4.1,2013,4,21
0,16.1,5,4.3,2013,4,22
0,17.8,3.9,2.8,2013,4,23
0,21.1,6.1,3,2013,4,24
0,21.7,6.7,1.1,2013,4,25
0,20.6,8.3,2.2,2013,4,26
0,13.9,10.6,5.9,2013,4,27
1,15,9.4,5.2,2013,4,28
3.8,13.9,6.7,4.2,2013,4,29
0,12.8,4.4,2.4,2013,4,30
0,18.3,3.3,3.1,2013,5,1
0,20.6,6.7,4,2013,5,2
0,21.7,9.4,4.9,2013,5,3
0,25,11.1,6.5,2013,5,4
0,28.9,11.7,5.3,2013,5,5
0,30.6,12.2,2,2013,5,6
0,20.6,11.1,3.3,2013,5,7
0,19.4,11.1,1.9,2013,5,8
0,22.8,10,1.3,2013,5,9
0,26.1,9.4,1,2013,5,10
0,27.2,12.2,2.6,2013,5,11
6.6,21.7,13.9,3.9,2013,5,12
3.3,18.9,9.4,5,2013,5,13
0,18.3,7.8,2.4,2013,5,14
1,17.2,8.9,2.3,2013,5,15
0,21.7,12.2,2.7,2013,5,16
0.5,17.2,11.7,3.7,2013,5,17
0,16.7,11.1,2.9,2013,5,18
0,18.3,10.6,2.3,2013,5,19
0,19.4,9.4,1.8,2013,5,20
13.7,15.6,8.3,4.8,2013,5,21
13.7,11.1,7.2,3,2013,5,22
4.1,12.2,6.7,1.9,2013,5,23
0.3,16.7,8.9,2.7,2013,5,24
0,17.8,10,2.7,2013,5,25
1.5,18.3,10.6,2.2,2013,5,26
9.7,16.7,11.1,3.1,2013,5,27
0.5,17.2,11.7,2.8,2013,5,28
5.6,16.1,9.4,4,2013,5,29
0,16.7,9.4,5.3,2013,5,30
0,19.4,11.1,2.5,2013,5,31
0,22.8,12.2,2.5,2013,6,1
1,20.6,12.2,3.1,2013,6,2
0,22.2,11.1,2.9,2013,6,3
0,26.1,12.2,3.4,2013,6,4
0,26.7,14.4,3.1,2013,6,5
0,26.7,12.2,2.5,2013,6,6
0,21.7,13.3,3.2,2013,6,7
0,20.6,12.8,3.1,2013,6,8
0,20.6,11.1,3.7,2013,6,9
0,21.7,11.7,3.2,2013,6,10
0,20,10,5.7,2013,6,11
0.3,20.6,11.7,4.2,2013,6,12
0,21.1,11.7,2.6,2013,6,13
0,20,12.2,3.7,2013,6,14
0,25.6,10,2.9,2013,6,15
0,23.9,12.8,3.4,2013,6,16
0,25.6,13.9,3,2013,6,17
0.3,23.3,13.3,3.4,2013,6,18
0,20,12.8,3.7,2013,6,19
3,17.2,12.8,5,2013,6,20
0.3,20.6,12.2,1.5,2013,6,21
0,25.6,11.7,1.7,2013,6,22
7.9,22.2,15,2.1,2013,6,23
4.8,21.1,13.9,3.7,2013,6,24
9.9,23.3,14.4,2.8,2013,6,25
2,22.2,15,2.3,2013,6,26
3.6,21.1,16.7,1.3,2013,6,27
0,30.6,16.1,2.2,2013,6,28
0,30,18.3,1.7,2013,6,29
0,33.9,17.2,2.5,2013,6,30
0,31.7,18.3,2.3,2013,7,1
0,28.3,15.6,3,2013,7,2
0,26.1,16.7,3.2,2013,7,3
0,21.7,13.9,2.2,2013,7,4
0,23.3,13.9,2.6,2013,7,5
0,26.1,13.3,2.2,2013,7,6
0,23.9,13.9,2.9,2013,7,7
0,26.7,13.3,2.8,2013,7,8
0,30,15,2.5,2013,7,9
0,22.2,13.9,2.6,2013,7,10
0,22.8,12.2,3,2013,7,11
0,19.4,13.3,2.2,2013,7,12
0,26.1,11.1,3.1,2013,7,13
0,27.8,12.8,3,2013,7,14
0,27.8,14.4,4.6,2013,7,15
0,31.1,18.3,4.1,2013,7,16
0,22.2,15,3.7,2013,7,17
0,26.1,13.9,2,2013,7,18
0,27.8,13.3,1.9,2013,7,19
0,25,13.3,2,2013,7,20
0,23.9,12.8,2.3,2013,7,21
0,26.1,13.3,2.4,2013,7,22
0,31.1,13.9,3,2013,7,23
0,31.1,14.4,2.5,2013,7,24
0,31.1,12.8,2.3,2013,7,25
0,31.1,14.4,2.9,2013,7,26
0,25.6,12.8,2.6,2013,7,27
0,21.1,12.2,3.4,2013,7,28
0,25,13.3,1.4,2013,7,29
0,25,13.3,2.8,2013,7,30
0,21.7,13.3,1.8,2013,7,31
0,20.6,13.3,3.9,2013,8,1
2,17.2,15,2,2013,8,2
0,25,15.6,2.4,2013,8,3
0,28.9,15,3.4,2013,8,4
0,30,15,2.1,2013,8,5
0,30.6,13.9,1.4,2013,8,6
0,31.1,13.9,1.9,2013,8,7
0,28.3,14.4,2.5,2013,8,8
0,28.3,14.4,2.1,2013,8,9
2.3,25.6,15,2.9,2013,8,10
0,25,14.4,2.9,2013,8,11
0,25.6,16.1,1.9,2013,8,12
0,27.8,15,1.8,2013,8,13
0.8,27.2,15,2,2013,8,14
1.8,21.1,17.2,1,2013,8,15
0,28.9,16.1,2.2,2013,8,16
0,25.6,17.2,3,2013,8,17
0,26.1,15.6,3.1,2013,8,18
0,26.7,15.6,3,2013,8,19
0,25.6,16.1,4.6,2013,8,20
0,27.8,15,4.3,2013,8,21
0,28.9,15,1.9,2013,8,22
0,25,16.1,4.1,2013,8,23
0,25,16.7,2.7,2013,8,24
0.3,22.2,16.1,2.6,2013,8,25
1,24.4,16.1,1.9,2013,8,26
1.3,26.7,17.2,1.4,2013,8,27
5.6,26.7,15.6,1.3,2013,8,28
19.3,23.9,18.3,3,2013,8,29
0,26.1,16.1,2.9,2013,8,30
0,27.8,13.9,2.6,2013,8,31
0,27.8,15.6,2.5,2013,9,1
0,27.8,17.2,2.1,2013,9,2
2.3,25,16.7,1.7,2013,9,3
0.3,22.8,16.1,2.4,2013,9,4
27.7,20,15.6,2.5,2013,9,5
21.3,21.7,16.1,2.6,2013,9,6
0,23.3,17.2,2,2013,9,7
0,26.7,14.4,1.5,2013,9,8
0,26.1,13.9,2.1,2013,9,9
0,26.7,15,3.7,2013,9,10
0,33.9,16.1,2.4,2013,9,11
0,25.6,15,1.7,2013,9,12
0,18.9,15.6,2,2013,9,13
0,21.7,15.6,1.4,2013,9,14
3.3,18.9,14.4,2.2,2013,9,15
0.3,21.7,15,4.3,2013,9,16
0,17.8,13.9,2.3,2013,9,17
0,21.1,13.3,2.5,2013,9,18
0,25.6,10,1.5,2013,9,19
3.6,23.3,13.3,3,2013,9,20
0,21.1,13.3,2.5,2013,9,21
13.5,17.2,13.3,5.5,2013,9,22
2.8,16.1,11.1,4.5,2013,9,23
0,17.8,10,2.6,2013,9,24
2,16.1,9.4,3,2013,9,25
0,17.2,7.2,2.2,2013,9,26
1,13.9,10.6,4.3,2013,9,27
43.4,16.7,11.7,6,2013,9,28
16.8,14.4,11.1,7.1,2013,9,29
18.5,13.9,10,6.3,2013,9,30
7.9,14.4,8.9,4.7,2013,10,1
5.3,12.8,9.4,2.4,2013,10,2
0.8,14.4,8.9,0.9,2013,10,3
0,17.8,5.6,1.1,2013,10,4
0,20,8.3,1.6,2013,10,5
4.1,22.8,7.8,2.6,2013,10,6
0.5,16.1,11.7,6.3,2013,10,7
6.9,13.9,7.8,3,2013,10,8
0,15,5.6,1.6,2013,10,9
1,14.4,8.3,1.7,2013,10,10
9.1,13.9,10.6,1,2013,10,11
1,14.4,8.9,2.2,2013,10,12
0,15,6.7,1.8,2013,10,13
0,15.6,3.9,1.6,2013,10,14
0,15.6,5,0.9,2013,10,15
0,12.8,8.9,2.7,2013,10,16
0,14.4,8.9,1.7,2013,10,17
0,12.8,7.2,1.2,2013,10,18
0,10.6,7.8,1.4,2013,10,19
0,10.6,7.8,2.4,2013,10,20
0,11.7,8.3,2.5,2013,10,21
